en,es
"The true danger is when liberty is nibbled away, for expedients, and by parts.","El verdadero peligro está cuando la libertad es mordisqueada, por expedientes y por partes."
I have hunger pangs.,Tengo retortijones de hambre.
Many people do this.,Mucha gente lo hace.
It's very big.,Es muy grande.
You should get some rest.,Deberías darte un descanso.
I wanna be a roomba. I want knives taped to me. I wanna be let loose.,Quiero ser un roomba. Quiero cuchillos pegados a yo con cinta adhesiva. Quiero que me deje suelta.
Social progress can be measured by the social standing of the feminine sex.,El progreso social puede ser medido por la posición social del sexo femenino.
"For example, Osaka is the sister city of San Francisco.","Por ejemplo, Osaka es una ciudad hermana de San Francisco."
Which language is spoken in the United States of America?,¿Qué idioma se habla en los Estados Unidos?
"She doesn't like being alone, but I prefer it like that.","A ella no le gusta estar sola, pero yo lo prefiero así."
I hope Tom likes me.,Espero que le guste a Tom.
He showed me the way to the store.,Él me enseñó cómo llegar a la tienda.
What is a friend? A soul that lives in two bodies.,¿Qué es un amigo? Un alma que vive en dos cuerpos.
Show me the way to the bus stop.,Enséñame cómo llegar a la parada de autobús.
Pretty flowers do not necessarily smell sweet.,Las flores bonitas no tienen que oler necesariamente bien.
Tom keeps scaring me more each day. He does some real weird things.,"Ese Tom cada vez da más miedo, hace unas cosas de un raro..."
French is the only language that I'm able to speak.,El francés es el único lenguaje que puedo hablar.
Everybody knows it except me.,Todos lo saben excepto yo.
No one really knows what a UFO is like.,Nadie sabe cómo es un ovni.
"The world owes me, so fuck you!","El mundo me debe, así que ¡jódete!"
The clouds opened and the sun shone through.,Las nubes se abrieron y se asomó el sol.
I have my own opinions about politics and religion.,Tengo mis propias opiniones sobre política y religión.
Jane ended up not buying it.,"Al final, Jane no lo compró."
Please limit your presentation to 30 minutes.,Por favor limita tu presentación a 30 minutos.
"As far as I know, he's an honest man.","Hasta donde sé, él es un hombre honesto."
"I'm doing well, thank you.","Estoy bien, gracias."
"Muslims believe only in Allah as the unique God, and in Mohammad as the last prophet.","Los musulmanes creen solo en Alá como único Dios, y en Muhammad como el último profeta."
Tom and Mary were both sitting cross-legged on the floor.,Tom y Mary estaban sentados de piernas cruzadas en el piso.
War creates uncertainty.,La guerra crea incertidumbre.
Why don't you tell him that?,¿Por qué no se lo decís?
I tried to persuade Tom to come home.,Traté de convencer a Tomás para que volviera a casa.
Take what you want and don't give anything.,Toma lo que quieras y no des nada.
This beer is for you.,Esta cerveza es para ti.
"Put the teapot on the burner, otherwise the tea will be cold.","Pon la tetera en el quemador. Si no, el té estará frío."
The lightbulbs go there.,Las bombillas van allí.
I realize that this is a difficult decision for you.,Sé que esta es una decisión difícil para usted.
"For God's sake, don't call him.","Por Dios, no le llames."
"Speaking of Switzerland, have you ever been there in the winter?","Hablando de Suiza, ¿has estado alguna vez allí en invierno?"
Is it harder to forgive or to forget?,¿Es más duro perdonar u olvidar?
The tired old lady had bags under her eyes.,La anciana cansada tenía bolsas bajo los ojos.
He took it literally.,Él se lo tomó en un sentido literal.
He's crazy.,Él es loco.
She caught him smoking a cigarette.,Lo pilló fumando un cigarrillo.
His way of speaking irritates me.,Su forma de hablar me es irritante.
Man invented language to satisfy his deep need to complain.,El hombre inventó el lenguaje para satisfacer su profunda necesidad de quejarse.
Tell them the truth.,Deciles la verdad.
He will live forever in our hearts.,Siempre vivirá en nuestros corazones.
It will be fine tomorrow.,Seguro que mañana hará buen tiempo.
Wages vary in relation to the age of the worker.,Los salarios varían en relación con la edad del trabajador.
Tom should have married Mary.,Tom debería haberse casado con Mary.
You're going to be famous.,Serás famoso.
Why are you sitting here in the dark?,¿Por qué estás sentada aquí en la oscuridad?
I think we do a really good job.,Creo que hacemos un trabajo excelente.
He will be back tomorrow.,Él volverá mañana.
This ticket allows two people to enter.,Este boleto admite dos personas.
I'd like a table by the window.,Quisiera una mesa junto a la ventana.
There's a hotel across the street.,Hay un hotel al otro lado de la calle.
Where can you play table football?,¿Dónde se puede jugar al futbolín?
I like that movie too.,También me gusta esa película.
Can you move stuff around with your mind?,¿Puedes mover cosas con la mente?
"If the weather is good, I'll go out tomorrow.","Si el tiempo es bueno, yo saldría mañana."
The two mountains are of equal height.,Las dos montañas son de igual altura.
They're sunbathing around the pool.,Ellas están tomando sol alrededor de la piscina.
Tom has no idea what to do.,Tom no tiene ni idea de qué hacer.
Tom was surprised to see Mary at school on Sunday.,Tom se sorprendió al ver a Mary en la escuela el domingo.
I'm less than an hour away from São Paulo.,Estoy a menos de una hora de San Pablo.
Every rose has its thorns.,Toda rosa tiene sus espinas.
I heard that you and Tom had a big fight.,Escuché que tú y Tom tuvieron una gran pelea.
I like this color as well.,Me gusta este color también.
Tom is no longer the man he used to be.,Tom ya no es el hombre que solía ser.
When did he come here?,¿Cuándo vino él aquí?
She'll be getting married next year.,Ella se casará el año próximo.
We've been very busy for the last few days.,Hemos estado bastante ocupados estos últimos días.
Why didn't you get married?,¿Por qué no os casasteis?
Some politicians are wolves in sheep's clothing.,Algunos políticos son lobos en piel de oveja.
I went to the department store to do some shopping yesterday.,Ayer fui al gran almacén a hacer unas compras.
I think you're the only one who cares.,Creo que eres la única a la que le importa.
Did you say you've seen a UFO? You can't be serious!,¿Que has visto un ovni? ¡Anda ya!
I just got married.,Me acabo de casar.
The leaves have begun to change colors.,Las hojas han empezado a cambiar de color.
Water transmits sound better than air.,El agua transmite mejor el sonido que el aire.
I want to go there.,Quiero ir allí.
Can you write?,¿Sabes escribir?
I like Czechoslovakia a lot.,Me gusta mucho Checoslovaquia.
Your parents adored me.,Tus padres me adoraban.
Alain focused all his attention on his cat.,Alain puso toda su atención en su gato.
He doesn't love me anymore.,Ya no me quiere.
You can answer it.,Puedes responderlo.
Give me three pieces of chalk.,Dadme tres trozos de tiza.
I just moved.,Acabo de mudarme.
"I was born on June 4, 1974.",Nací el 4 de junio de 1974.
Happiness in marriage is entirely a matter of chance.,La felicidad en el matrimonio es completamente una cuestión de suerte.
I need to talk to the both of you.,Necesito hablar con vosotros dos.
Sami was found abandoned in the woods.,Sami fue encontrado abandonado en el bosque.
The highways in this country are excellent.,En este país las carreteras son magníficas.
He's very popular.,Es muy popular.
Please do that.,"Por favor, hágalo."
What else can I tell you?,¿Qué más te puedo decir?
I drank one.,Yo bebí uno.
I am a doctor.,Soy doctora.
Tom didn't expect Mary to react like she did.,Tom no esperaba que Mary reaccionara como lo hizo.
There is no place like home.,No hay nada como el hogar.
I've got something for you.,Tengo algo para vosotras.
Do you want to drink something?,¿Quiere tomar algo?
I live in a big city.,Vivo en una gran ciudad.
"Mary may be pretty, but I don't like her.",Puede que Mary sea guapa pero a mí no me gusta.
She likes beans.,Le gustan los frijoles.
There was a neat pile of books in the corner of the room.,Había un montón de libros en la esquina de la pieza.
I don't like visiting big cities.,No me gusta visitar ciudades grandes.
Do you mind if I sit down?,¿Podría sentarme aquí?
They're coming.,Vienen.
We didn't play well.,No jugábamos bien.
I'm ready. And you?,"Estoy lista, ¿y vosotros?"
I promise you I'll never leave you.,Te prometo que nunca te abandonaré.
I want you to be my wife.,Quiero que seas mi esposa.
Mary is studying in her room.,María está estudiando en su pieza.
Speeding often causes car accidents.,El exceso de velocidad suele causar accidentes automovilísticos.
"You can come to my party, but you have to bring me a gift.","Podés venir a mi fiesta, pero tenés que regalarme algo."
My eyes are red.,Tengo los ojos irritados.
The bread is here.,El pan está aquí.
He dreams of a world without war.,Sueña de un mundo sin guerras.
It's getting on my nerves.,Me está poniendo de los nervios.
I want to become a politician.,Quiero ser político.
"Hey kid, get in line like the rest of us.","Niño, ponte a la cola como todos."
Tom wondered how fast Mary could climb a ladder.,Tom se preguntó que tan rápido podría Mary subir una escalera.
We've got much bigger problems to deal with.,Tenemos problemas más graves que atender.
You're still involved.,Todavía estás involucrado.
Jane stopped collecting teddies at the age of 20.,Jane dejó de coleccionar osos de peluche a los 20 años.
Thank you for coming all the way to see me.,Gracias por venir hasta aquí para verme.
She is angry with me.,Está enfadada conmigo.
He got the first prize.,Ganó el primer premio.
"Packed into wooden fishing boats like sardines, the immigrants undergo the dangerous voyage there.","Apretujados en barcos de pesca de madera como sardinas, los inmigrantes sufren el peligroso viaje hacia allí."
Do you want to take care of that?,¿Quieres encargarte de eso?
I demand a refund.,Exigo un reembolso de mi dinero.
I've been patient my whole life.,He sido paciente toda mi vida.
"Lucy's cute, but she's got an atrocious character.","Lucy es linda, pero tiene un carácter terrible."
He was sleeping under the tree.,Estaba durmiendo bajo el árbol.
Try to be strong.,Intenta ser fuerte.
Damn... This is going to be a very long week...,Maldita sea... Esta va a ser una larga semana...
You had better not keep company with him.,Harías mejor no acompañándolo.
Even intelligent people are sometimes absent-minded.,Incluso las personas inteligentes son a veces distraídas.
Why doesn't he tell the truth?,¿Por qué no dice la verdad?
Don't ever touch me.,Nunca me toques.
I didn't get any of that.,No entendí nada de eso.
I need more information on this matter.,Necesito más información sobre este asunto.
What was the best present you got last Christmas?,¿Cuál fue el mejor regalo que recibiste la pasada Navidad?
"What day is it today? ""Wednesday.""","¿Qué día es hoy? ""Miércoles""."
Flightless birds are birds that can't fly.,Los pájaros no voladores son pájaros que no pueden volar.
Stop. I don't want to.,Parad. No quiero.
We very much enjoyed the meal we had at her home last Sunday.,Disfrutamos mucho la comida que tomamos en su casa el domingo pasado.
It's in my pocket.,Está en mi bolsillo.
"Generally speaking, what she says is right.","Generalmente hablando, lo que ella dice es cierto."
Can you write that down for me?,¿Puedes escribírmelo?
They won't believe it.,Ellos no se lo van a creer.
We were born after the war.,Nosotros nacimos después de la guerra.
"After continuing days of warm weather, it became cold.","Después de varios días cálidos, el tiempo se puso helado."
It's better that way.,Es mejor así.
You've taught me so much.,Me has enseñado tanto...
He listened to his CDs at random.,Escuchó sus CDs al azar.
Why are we sitting here?,¿Por qué estamos aquí sentados?
You should turn off your cell phone.,Debería apagar su teléfono móvil.
It looks like a camera of some kind.,Parece ser una cámara de algún tipo.
He has a lot female friends.,Él tiene muchas amigas.
"This is beautiful, and that is also beautiful.","Esto es bonito, y eso también es bonito."
I made friends with her.,Nos hicimos amigos con ella.
"It was a warm day, so we went swimming.","Era un día cálido, así que fuimos a nadar."
Is that your tortoise?,¿Ésa es tu tortuga?
I can't eat this kind of food.,No puedo comer este tipo de comida.
"We won, thanks to you.",Nosotros ganamos gracias a ti.
I know Tom is three years older than Mary.,Sé que Tomás es tres años mayor que María.
Tom was often late for school.,Tom a menudo llegaba tarde al colegio.
It's good to be back!,¡Qué bien estar de vuelta!
"And actually, it was simple!","¡Y de hecho, fue sencillo!"
Would you like me to help?,¿Quieres que yo ayude?
I saw Professor Gómez yesterday.,Vi a la profesora Gómez ayer.
Think for a moment.,Piensa por un momento.
I don't want to be here when Tom gets here.,No quiero estar aquí cuando Tom llegue.
Tom has less money than his brother does.,Tom tiene menos dinero que su hermano.
Read the book aloud.,Lea el libro en voz alta.
Let's see what the outcome is.,Veamos cual es el resultado.
Tom just texted me.,Tom me acaba de mandar un texto.
Tom is an outstanding player.,Tom es un excelente jugador.
What he said made us angry.,Lo que dijo nos hizo enfadar.
We were shocked at the news of his death.,Quedamos impactados por la noticia de su muerte.
Tom explained to me what furries are.,Tom me explicó lo que son los furries.
Could you do me a favor?,¿Podrías hacerme un favor?
"Clearly, I make you uncomfortable.",Está claro que te hago sentir incómoda.
Live and let live.,Vive y deja vivir.
Sami received e-mails from various strangers.,Sami recibió emails de varios extraños.
"No one knows where Vanuatu is, that's why I want to be there, to be calm.","Nadie sabe dónde está Vanuatu, por eso quiero ir allí, para estar tranquilo."
Do you have an alarm clock in your room?,¿Tienes despertador en tu recámara?
I'll get right on that.,Me pondré con eso enseguida.
The leaves fell from the trees.,Las hojas cayeron de los árboles.
Are you 17 years old?,¿Tienen ustedes 17 años?
Let's stop talking about that and change the subject.,Dejemos de hablar de eso y cambiemos de tema.
She has red hair.,Ella es pelirroja.
I'm not a kid anymore.,Ya no soy pequeño.
Wash everything.,Lava todo.
We'll always be together.,Siempre estaremos juntos.
She waited for her lover at the station.,Ella esperaba a su amante en la estación.
The purpose of our trip is to visit a new factory.,El propósito de nuestro viaje es visitar una nueva fábrica.
Sami started talking about God.,Sami empezó a hablar de Dios.
You are very brave.,Es usted muy valiente.
I'm not nervous.,No estoy nervioso.
I eat soft bread.,Como pan tierno.
My suit is grey.,Mi traje es gris.
The bat screeches.,El murciélago chirría.
Dinner is ready.,La cena está lista.
Do you want to do that today?,¿Quieres hacerlo hoy?
Then we went to the theater.,Después fuimos al teatro.
I won't live like that.,Yo no viviré así.
He talks as if he knew the secret.,Él habla como si supiera el secreto.
Sami told the police officers everything.,Sami les contó todo a los policias.
The roar of the fire drowned the screams.,El rugido del fuego hundió los gritos.
"She said that she was ill, which was a lie.","Ella dijo que estaba mala, lo cual fue mentira."
Only then did I realize what he meant.,Sólo entonces me di cuenta de a qué se refería.
This hat is too small for me.,Este sombrero es demasiado pequeño para mí.
We crossed the lake in a boat.,Cruzamos el lago en un bote.
I think you're wrong about that.,Creo que te equivocas en eso.
You're very clean.,Está muy limpio.
I say it's time to sleep!,¡Digo que es hora de dormir!
We shouldn't lose courage.,No deberíamos perder el coraje.
They fear that he may be dead.,Temen que pueda estar muerto.
I don't know what it says there.,No sé qué dice ahí.
What's your favorite cold drink?,¿Cuál es tu bebida fría favorita?
We had an unpleasant experience there.,Tuvimos una experiencia desagradable allí.
We are from France.,Somos de Francia.
The main thing is to tell the truth.,Lo principal es decir la verdad.
I know every corner of the city.,Yo conozco cada rincón de la ciudad.
I feel great.,Me siento genial.
I have lunch with the manager almost every day.,Almuerzo con el gerente casi todos los días.
It's more polite to say thin than skinny.,Es más cortés decir delgado que flaco.
In the end the bill was forced into being withdrawn.,"Al final, el proyecto de ley fue forzado a retirarse."
Do your children always wear helmets when they ride their bicycles?,¿Se ponen tus hijos el casco siempre que montan en bicicleta?
He snuck out to meet up with a girl.,Él se escabulló para reunirse con una chica.
Tom won the toss.,Tom ganó la apuesta.
"She bought a toaster, a coffeemaker, an egg cooker and a hand mixer.","Ella compró una tostadora, una cafetera, un hervidor de huevos y una batidora de mano."
"Iniesta: ""Cesc, Xavi and I are not compatible"".","Iniesta: ""Cesc, Xavi y yo no somos incompatibles""."
Argentina is a major exporter of raw materials.,Argentina es una gran exportadora de materias primas.
She is afraid of cats.,Ella teme a los gatos.
She has fake eyelashes.,Ella usa pestañas falsas.
What color is this?,¿De qué color es esto?
We didn't have many visitors this summer.,No tuvimos muchas visitas este verano.
The coffee he drank was quite expensive.,El café que él tomó fue muy costoso.
You can spend the night with us.,Puedes pasar la noche con nosotras.
It is ten minutes before eleven.,Son las once menos diez.
A face appeared at the window.,Una cara apareció en la ventana.
I'd like to see the Statue of Liberty.,Me gustaría ver la Estatua de la Libertad.
It's a question of taste.,Es cuestión de gustos.
"Everywhere I look, I see your eyes.",Mire donde mire veo tus ojos.
A woman like you doesn't deserve a man like me.,Una mujer como vos no merece un hombre como yo.
I had never seen so much money.,Nunca había visto tanto dinero.
They know the way to be happy.,Ellos saben la manera de ser felices.
Your declarations reflect your intolerance.,Tus declaraciones reflejan tu intolerancia.
I always keep a dictionary close at hand.,Siempre tengo un diccionario a la mano.
You must get ready quickly.,Debes ponerte listo rápido.
What will you do with your first salary?,¿Qué vas a hacer con tu primer salario?
It's fun to take a trip in an automobile.,Es divertido hacer un viaje en un automóvil.
Do me the favor of dressing up because we're going to get there late!,¡Haz el favor de vestirte que vamos a llegar tarde!
Elizabeth the second is the queen of England.,Elizabeth II es la Reina de Inglaterra.
They hid in the cellar.,Ellos se escondieron en el sótano.
I've read this book several times.,Me he leído este libro varias veces.
Daniela called me at home.,Daniela me llamó a la casa.
This store closes at nine in the evening.,Esta tienda cierra a las nueve de la noche.
Waseda tied Keio in yesterday's game.,Waseda empató con Keio en el partido de ayer.
Today's the 20th of October.,Hoy es 20 de octubre.
I haven't eaten anything.,No he comido nada.
He also was very serious.,Él también era muy serio.
Tom shut himself up in his bedroom.,Tom se encerró en su cuarto.
The power lines for this department are in a restricted access zone.,Las instalaciones aéreas de este departamento están ubicadas en una zona de acceso restringido.
I feel tired.,Me siento cansado.
Don't turn off your computer.,No apaguen su computador.
She could not have done such a thing.,Ella no pudo haber hecho tal cosa.
All the members of the band were Ukrainian.,Los componentes de la banda eran todos ucranianos.
They shall not pass.,¡No pasarán!
He got his neck broken in the accident.,Se rompió el cuello en el accidente.
Maybe Tom went out with Mary.,A lo mejor Tom salió con Mary.
"If you can't get a lawyer who knows the law, get one who knows the judge.","Si no puedes conseguir un abogado que conozca la ley, consigue uno que conozca al juez."
Tom didn't know Mary had decided to leave him.,Tom no sabía que Mary había decidido dejarlo.
Have you ever pruned a tree?,¿Has podado un árbol alguna vez?
"I can't write French, but I can read it.","No puedo escribir en francés, pero lo puedo leer."
Tom was in a hurry.,Tom estaba con prisa.
I think Tom needs me.,Creo que Tom me necesita.
No medicine can cure this disease.,Ningún remedio puede curar esta enfermedad.
Tom likes singing in the shower.,A Tom le gusta cantar en la ducha.
"Besides teaching English, he writes novels.","Además de enseñar inglés, él escribe novelas."
We'll miss you.,Te vamos a extrañar.
His car has no wheels.,Su auto no tiene ruedas.
I know I'm in the way.,Sé que estoy en medio.
There is no telling what will happen tomorrow.,¿Quién sabe qué sucederá mañana?
"To tell the truth, I don't like his way of thinking.","Para ser sincero, no me gusta su forma de pensar."
Tom could be wrong.,Tom podría estar equivocado.
She handed him his jacket.,Ella le tendió la chaqueta.
"She clambered aboard the rowing boat, steadied herself as it bobbed, and cast off.","Ella se subió a bordo del bote de remos, se estabilizó mientras se balanceaba y soltó amarras."
"At night, I write in the living room.",Por la noche escribo en la sala de estar.
A talking dictionary is no longer a fantasy.,Un diccionario hablado ya no es una fantasía.
Why are you sad?,¿Por qué estás triste?
What time will you leave?,¿A qué hora te vas?
Please wake me up at seven tomorrow morning.,"Por favor, despiértame a las siete de la mañana."
Tom is a Mexican immigrant.,Tom es un inmigrante mejicano.
Let's review Lesson 5.,Vamos a repasar la Lección 5.
The meeting finished at nine.,La reunión terminó a las nueve.
The meaning of life is to be happy.,El sentido de la vida es ser feliz.
I don't have much money left.,No me queda mucho dinero.
Who sent this?,¿Quién mandó esto?
Tom sat beside Mary.,Tom se sentó junto a Mary.
This is a very useful book.,Es un libro muy útil.
My homeland is the whole world.,Mi patria es el mundo entero.
The students made her life happy.,Los estudiantes alegraron su vida.
I want to get out of this place.,Quiero irme de este lugar.
Speak a little louder.,Hable un poco más alto.
I'm very pleased to meet you.,Estoy encantado de conocerte.
He hung his jacket on a hook.,Colgó su chaqueta en una percha.
People here depend on public transportation.,La gente aquí depende del transporte público.
I'm absolutely certain that Tom won't do that.,Estoy convencidísimo de que Tom no hará eso.
I'll eat lunch when I get home.,Comeré cuando llegue a casa.
I live nearby.,Vivo cerca.
Tom asked Mary if she had been to Boston.,Tom le preguntó a Mary si había estado en Boston.
You mustn't eat too much ice cream and spaghetti.,No debes comer demasiado helado y espagueti.
What time will you get to Tokyo?,¿A qué hora llegarás a Tokio?
I find this book very interesting.,Me parece muy interesante este libro.
The waiter asked me to change tables because that one was reserved.,El camarero me pidió que me cambiara de mesa porque esa estaba reservada.
They have their own troubles.,Tienen sus propios problemas.
Your soul needs to be saved.,Tu alma necesita ser salvada.
"Eventually, his rights had to be acknowledged.",Finalmente sus derechos tuvieron que ser reconocidos.
I gotta keep on movin'.,Tengo que seguir moviéndome.
Politicians from many countries made pilgrimages to the White House.,Políticos de muchos países peregrinaron a la Casa Blanca.
"Excuse me, could you tell me the way to the post office?","Disculpa, ¿podrías indicarme el camino a la oficina postal?"
We all looked out the window to see what was happening.,Todos nos asomamos a la ventana para ver qué pasaba.
He seldom comes to see me.,Él viene poco a verme.
Yanni is hesitating.,Yanni está dudando.
My car is newer than Tom's.,Mi auto es más nuevo que el de Tom.
"Tom pointed to one of the pictures and said, ""Who's that?""","Tom apuntó a una de las fotos y dijo: ""¿Quién es ese?"""
I'll call you up tomorrow.,Te llamaré mañana.
I want a computer.,Quiero una computadora.
Many campaign songs were written.,Muchas canciones para la campaña fueron escritas.
She didn't turn up after all.,Ella no se presentó después de todo.
Almost every tourist carries a camera with him.,Casi todo turista lleva una cámara consigo.
My aunt can speak both Chinese and English.,Mi tía puede hablar chino e inglés.
We should try to understand one another.,Deberíamos tratar de entendernos el uno al otro.
Tom hates spiders.,Tom odia las arañas.
"Before, it used to snow every day in winter.","Antes, solía nevar todos los días en invierno."
Put the book back on the shelf.,Pon el libro de vuelta en el estante.
His job has to do with printing.,Su trabajo tiene que ver con la impresión.
Tom decided to quit his job.,Tom decidió renunciar a su trabajo.
I have just returned from the post office.,Acabo de volver de la oficina de correos.
Tom doesn't want his parents to find out.,Tomás no quiere que sus padres se enteren.
My children are coming with me.,Mis hijos vendrán conmigo.
I'll take over your job.,Me haré cargo de tu trabajo.
Describe it to me.,Descríbanmelo.
"When you die, what would you like people to remember you as?",¿Cómo te gustaría que la gente te recuerde cuando mueras?
Mr Jordan was a little surprised.,El Sr. Jordan estaba un tanto sorprendido.
"She probably studied in France, as she speaks French fluently.","Ella seguramente estudió en Francia, porque habla francés con fluidez."
The people have spoken.,El pueblo ha hablado.
Where's the rest of our class?,¿Dónde está el resto de la clase?
This costs nothing.,No cuesta nada.
Tom began to speak.,Tom empezó a hablar.
May you be happy!,¡Que seas feliz!
"She basically said that, without going into details.","Ella dijo básicamente eso, para no entrar en detalles."
I should have listened to you.,Debería haberte escuchado.
He didn't eat dinner.,No cenó.
Tom is tidying his room.,Tom está ordenando su pieza.
Let me show you to your accommodation.,Déjeme llevarlo a su alojamiento.
Those trees hide the landscape.,Estos árboles esconden el paisaje.
The weather in Greece is generally good.,El clima en Grecia es generalmente bueno.
What should I do?,¿Qué debería hacer?
Don't talk to the driver.,Se prohíbe hablar al conductor.
A rat ran across the road.,Una rata cruzó la ruta.
Don't worry about things that aren't important.,No te preocupes de cosas que no son importantes.
Those look good.,Ésos se ven bien.
Let's hit the hay.,Vámonos a dormir.
I hate birthday parties.,Detesto las fiestas de cumpleaños.
We met under a lonely tree.,Nos vimos bajo un solitario árbol.
He gave her a book.,Él le dio un libro a ella.
I don't want to start anything I can't finish.,No quiero empezar nada que no pueda terminar.
The Wright brothers succeeded in flying an airplane driven by an engine.,Los hermanos Wright lograron hacer volar un aeroplano impulsado por un motor.
Tom didn't ask.,Tom no preguntó.
"Another step, and you will fall down the precipice.",Otro paso más y te caerás por el precipicio.
I like working with Tom.,Me gusta trabajar con Tom.
I'll keep my mouth shut.,Mantendré la boca cerrada.
Algerians like to eat couscous.,A los argelinos les gusta comer cuscús.
I regret that I did not work harder.,Me arrepiento de no haber trabajado más duro.
Open the door for me.,Ábrame la puerta.
She fell asleep in my arms.,Ella se durmió en mis brazos.
He accepts gifts from students.,Él acepta regalos de los estudiantes.
Do people eat well in this restaurant?,¿Se come bien en este restaurante?
I am impatient with his inability to make decisions.,Su incapacidad para tomar decisiones me impacienta.
Your name sounds familiar to me.,Tu nombre me resulta familiar.
I knew what he said was true.,Sabía que lo que él dijo era cierto.
What kind of man do you think I am?,¿Qué clase de hombre crees que soy?
His family is very large.,Su familia es muy grande.
I was talking to Tom the other day.,Estaba hablando con Tom el otro día.
You can call me Bob please.,"Por favor, puedes llamarme Bob."
He worked at a restaurant.,Trabajaba en un restaurante.
I still call my mother Mama.,"Sigo llamando a mi madre ""mamá""."
Tom's dog bit Mary.,El perro de Tom mordió a Mary.
They lied to you.,Te mintieron.
What does he do?,¿A qué se dedica él?
I know for certain that's what happened.,Sé de cierto que eso es lo que ha pasado.
Tom can't finish this job in a day.,Tom no puede acabar este trabajo en un día.
She carried a silk purse.,Llevaba una bolsa de seda.
Is that your goal?,¿Es ese tu objetivo?
The Nile is the longest river in Africa.,El Nilo es el río más largo de África.
I always drink two cups of coffee in the morning.,Siempre me tomo dos tazas de café por la mañana.
What on earth do you want to talk to Tom about?,¿De qué diablos quieres hablar con Tom?
"My sword may be blunt, but that's more than enough for someone like you.","Puede que mi espada esté roma, pero es más que suficiente para alguien como tú."
He panted under a heavy load.,Él jadeaba bajo la pesada carga.
He stuck a straw into an anthill.,Él metió una pajita en un hormiguero.
Jim promised me not to come again.,Jim me prometió no venir otra vez.
It is a pity that you cannot travel with us.,Es una lástima que no puedas viajar con nosotros.
Divorce is becoming more common nowadays.,El divorcio se está popularizando últimamente.
"I love technology, but like most people, I've never played an active role in its development.","Adoro la tecnología, pero como la mayoría de la gente, nunca he jugado un rol activo en su desarrollo."
Tom did his own research.,Tom investigó por su cuenta.
A bullet pierced the helmet.,Una bala perforó el casco.
They are aware of the difficulties.,Ellos están al tanto de las dificultades.
Mine's bigger than yours.,El mío es más grande que el tuyo.
You smell like shit.,Hueles a mierda.
I'm as ready as I'll ever be.,Estoy más preparado que nunca.
How could someone shoot themselves in the back?,¿Cómo podría alguien dispararse en la espalda?
Has your dog ever bitten you?,¿Alguna vez te ha mordido tu perro?
The dog started digging in the park.,El perro se puso a escarbar en el parque.
It was this book that I borrowed from him.,Este era el libro que le tomé prestado.
"I want to have a part-time job, too.",Yo también quiero un trabajo de medio tiempo.
These books aren't just for children.,Estos libros no son solo para niños.
Bruno left the beach.,Bruno se marchó de la playa.
It's hot.,Está caliente.
Could you dim the lights a little?,¿Podrías bajar un poquito las luces?
That doesn't belong to you.,Eso no te pertenece.
He apologized to us for being late.,Se disculpó con nosotros por haber llegado tarde.
Do not open the door before the train comes to a halt.,No abráis la puerta antes de que el tren se haya detenido.
Never miss a good chance to shut up.,Nunca pierdas una buena oportunidad de callarte.
Do you know where Miss Hudson lives?,¿Sabes dónde vive la señorita Hudson?
He is one of my neighbours.,Él es uno de mis vecinos.
There wasn't much traffic.,No había mucho tráfico.
You must not give up hope.,No debes perder la esperanza.
Tom is a professional baseball player.,Tom es un beisbolista profesional.
Do you know anyone who speaks Japanese?,¿Conoces a alguien que hable japonés?
I want to see you in your office in half an hour.,Quiero verte en tu oficina en media hora.
Young people used to look down on the rules of society.,Los jóvenes solían despreciar las reglas de la sociedad.
Good music speaks for itself.,La música buena habla por sí misma.
I can't believe she just said that.,No puedo creer que ella acabe de decir eso.
The siren blew.,La sirena sonó.
You shouldn't talk back to your parents like that.,No deberías responder así a tus padres.
Be careful on your way home.,Ten cuidado en el camino de regreso a casa.
"If Satan could love, he would stop being evil.","Si Satanás pudiera amar, dejaría de ser malvado."
I should go with you.,Debería ir con vosotras.
"Around here, they roll up the sidewalks at 7 o'clock.","A las siete de la tarde, las calles están desiertas en esta ciudad."
Crime is increasing.,El delito es cada vez mayor.
I have not eaten breakfast yet.,Aún no he desayunado.
He is seeking employment.,Él está buscando empleo.
May I borrow your knife?,¿Me dejan su navaja?
Tom has lost the will to live.,Tom perdió la voluntad de vivir.
She turned her old dress into a skirt.,Ella volvió a su viejo vestido en una falda.
I don't know how long it will take.,No sé cuánto tiempo tardará.
Tom won't help Mary.,Tom no ayudará a Mary.
"With your skills, I'm sure it wouldn't be too hard to find another job.","Con vuestras habilidades, estoy segura de que no sería muy difícil encontrar otro trabajo."
I might be able to fit that in my schedule.,Es posible que pueda encajar eso en mi calendario.
It was Tom who first suggested that this might be the cause.,Tom fue el primero que sugirió que esta podría ser la causa.
None of them could understand what she was implying.,Ninguno de ellos fue capaz de entender lo que ella estaba insinuando.
English is spoken in many countries.,El inglés se habla en muchos países.
Sami stuffed a bag inside Layla's mouth to stifle her.,Sami rellenó la boca de Layla con una bolsa para asfixiarla.
Did you leave Algiers?,¿Te fuiste de Argel?
Tom still doesn't really like Mary much.,A Tom todavía no le gusta Mary mucho.
How much did you pay?,¿Cuánto pagaron?
Since 9.11 large scale acts of terrorism have occurred all over the world.,"Desde el 9.11, atentados terroristas de gran escala han ocurrido en todo el mundo."
That's right!,¡Eso es!
